batch_id,product,n_findings,findings,summary
BR-202604-0013,Brivaracetam Tablets 100mg,1,"[{'code': 'LOT_MISMATCH', 'severity': 'High', 'evidence': 'Recorded lot LOT-4593 does not match issued lot LOT-3266'}]","**QA Review Summary for BR-202604-0013**

**Finding:** A critical LOT_MISMATCH was identified where the recorded lot (LOT-4593) does not correspond to the issued lot (LOT-3266).

**Significance:** This discrepancy poses a substantial risk to product integrity and traceability, potentially leading to incorrect inventory management and compromised patient safety.

**Recommended Action:** Per GMP, conduct a thorough investigation to identify the root cause of the mismatch. Verify the correct lot was used in production. If confirmed, implement corrective actions to prevent recurrence. Depending on the investigation outcome, consider batch rejection or additional testing to ensure product quality and compliance."
TO-202601-0015,Topiramate Tablets 100mg,1,"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 4.5kPa is outside spec range 6-10kPa'}]","QA Review Summary for Batch TO-202601-0015:

An Out-of-Specification (OOS) result was identified for tablet hardness, measuring 4.5 kPa, which falls below the specified range of 6-10 kPa. This is critical as tablet hardness directly impacts the product's dissolution rate, stability, and patient compliance. 

Recommended next steps:
1. Conduct a root cause analysis to determine the deviation source.
2. Perform a thorough impact assessment on product quality and stability.
3. Consider retesting to confirm the OOS result.
4. Based on findings, decide whether to reject the batch, investigate further, or potentially reprocess under controlled conditions.

Final disposition should align with GMP principles ensuring product safety and efficacy."
LA-202605-0017,Lamotrigine Tablets 200mg,1,"[{'code': 'MISSING_SIGNATURE', 'severity': 'Critical', 'evidence': 'QA signature is missing from the final release section'}]","**QA Review Summary for Batch LA-202605-0017**

**Finding:** Critical exception - Missing QA signature in the final release section.

**Importance:** The absence of a QA signature is a significant GMP non-compliance, as it indicates that the final quality check and approval were not formally documented. This undermines the integrity of the batch release process.

**Recommended Action:** The batch should be placed on hold until the QA signature is obtained. Investigate the oversight to prevent recurrence. Once the signature is in place, re-evaluate the batch for release. If the issue persists or other discrepancies are found, consider batch rejection."
BR-202606-0018,Brivaracetam Tablets 100mg,1,"[{'code': 'LOT_MISMATCH', 'severity': 'High', 'evidence': 'Recorded lot LOT-6038 does not match issued lot LOT-4923'}]","**QA Review Summary for BR-202606-0018**

**Finding:** LOT_MISMATCH - Recorded lot LOT-6038 does not match issued lot LOT-4923.

**Significance:** This discrepancy indicates a potential error in material tracking, which compromises batch integrity and traceability. It is critical to ensure the correct lot is used to maintain product quality and compliance with GMP.

**Recommended Action:** Investigate the root cause of the lot mismatch. Verify the correct lot was used in production. If confirmed, document the discrepancy and perform a risk assessment. If the correct lot was not used, consider batch rejection. Implement corrective actions to prevent recurrence."
LE-202604-0019,Levetiracetam Tablets 750mg,1,"[{'code': 'OOS_DISSOLUTION', 'severity': 'Critical', 'evidence': 'Dissolution 75.5% is below minimum 80.0%'}]","**QA Review Summary for Batch LE-202604-0019**

**Finding:** Dissolution result of 75.5% is below the specified minimum of 80.0%.
**Significance:** This OOS (Out of Specification) result indicates potential issues with drug bioavailability, which could impact therapeutic efficacy and patient safety.
**Recommended Action:** Per GMP practice, conduct a thorough investigation to determine root cause. Retest the batch to confirm the initial result. Depending on investigation outcomes, consider batch rejection or further review by a deviation committee to assess potential for reprocessing or release with justified risk assessment."
BR-202601-0022,Brivaracetam Tablets 100mg,1,"[{'code': 'OOS_WEIGHT', 'severity': 'High', 'evidence': 'Tablet weight 107.4mg is outside spec range 95-105mg'}]","QA Review Summary for BR-202601-0022:

An Out-of-Specification (OOS) result was identified where the tablet weight of 107.4mg exceeds the specified range of 95-105mg. This deviation is critical as it affects the product's efficacy and safety profile. Per GMP, a thorough investigation is required to determine the root cause. Recommended next steps include:
1. Conducting a detailed investigation to identify the cause of the weight variation.
2. Reviewing process parameters and raw material attributes.
3. Assessing the impact on batch quality and patient safety.
4. Implementing corrective and preventive actions if necessary.

Based on investigation outcomes, a decision on batch disposition (release, reprocess, or reject) should be made."
TO-202603-0027,Topiramate Tablets 100mg,1,"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 4.8kPa is outside spec range 6-10kPa'}]","**QA Review Summary for Batch TO-202603-0027**

**Exception:** OOS_HARDNESS - Tablet hardness recorded at 4.8 kPa, which is below the specified range of 6-10 kPa.

**Significance:** Tablet hardness is critical for ensuring consistent dissolution and patient safety. A value below specification may lead to variable drug release and potential efficacy issues.

**Recommended Action:** Conduct a thorough investigation to determine the root cause of the hardness deviation. Evaluate the impact on product quality and perform dissolution testing on the batch. Based on findings, consider reprocessing or rejecting the batch to ensure compliance with GMP standards."
BR-202602-0033,Brivaracetam Tablets 100mg,1,"[{'code': 'TEMP_DEVIATION', 'severity': 'Medium', 'evidence': 'Process temperature 32.6C outside validated range 20-25C'}]","QA Review Summary for BR-202602-0033:

A temperature deviation was identified where the process temperature reached 32.6°C, exceeding the validated range of 20-25°C. This deviation is significant as it may affect the stability and efficacy of Brivaracetam Tablets. Per GMP practices, a thorough investigation is required to assess the impact on product quality. Recommended next step: Conduct a root cause analysis and impact assessment. Depending on the findings, consider reprocessing, additional testing, or batch rejection to ensure compliance with quality standards."
LA-202605-0035,Lamotrigine Tablets 200mg,1,"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 6.4kPa is outside spec range 7-11kPa'}]","QA Review Summary: Batch LA-202605-0035 of Lamotrigine Tablets 200mg exhibits an out-of-specification (OOS) result for tablet hardness, measuring 6.4 kPa against the specified range of 7-11 kPa. This deviation is critical as tablet hardness directly impacts drug dissolution and patient bioavailability. Recommended next step: Conduct a thorough investigation to determine the root cause of the OOS result. This should include review of manufacturing parameters, raw material quality, and equipment calibration. Depending on investigation outcomes, consider retesting a retained sample or performing a dissolution test to assess product performance. Final batch disposition should be determined based on investigation results and compliance with GMP requirements."
LA-202602-0037,Lamotrigine Tablets 200mg,1,"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 5.2kPa is outside spec range 7-11kPa'}]","**QA Review Summary for Batch LA-202602-0037**

**Exception Finding: OOS_HARDNESS**
- **What was found:** Tablet hardness measured at 5.2 kPa, which is below the specified range of 7-11 kPa.
- **Why it matters:** Tablet hardness directly impacts the product's dissolution rate, stability, and patient compliance. An OOS result may indicate potential issues with product efficacy and safety.
- **Recommended next step:** Conduct a root cause analysis to determine the reason for the low hardness. Retest a representative sample to confirm the initial finding. Depending on the investigation outcome, consider reprocessing or rejecting the batch to ensure compliance with GMP standards."
