batch_id,product,true_exceptions,detected,n_true,n_detected
LE-202601-0001,Levetiracetam Tablets 750mg,[],[],0,0
LE-202603-0002,Levetiracetam Tablets 750mg,[],[],0,0
LE-202602-0003,Levetiracetam Tablets 750mg,[],[],0,0
LE-202602-0004,Levetiracetam Tablets 750mg,[],[],0,0
LA-202602-0005,Lamotrigine Tablets 200mg,[],[],0,0
LE-202604-0006,Levetiracetam Tablets 750mg,[],[],0,0
LA-202606-0007,Lamotrigine Tablets 200mg,[],[],0,0
LE-202602-0008,Levetiracetam Tablets 750mg,[],[],0,0
BR-202603-0009,Brivaracetam Tablets 100mg,[],[],0,0
BR-202603-0010,Brivaracetam Tablets 100mg,[],[],0,0
BR-202606-0011,Brivaracetam Tablets 100mg,[],[],0,0
BR-202605-0012,Brivaracetam Tablets 100mg,[],[],0,0
BR-202604-0013,Brivaracetam Tablets 100mg,['LOT_MISMATCH'],"[{'code': 'LOT_MISMATCH', 'severity': 'High', 'evidence': 'Recorded lot LOT-4593 does not match issued lot LOT-3266'}]",1,1
LE-202606-0014,Levetiracetam Tablets 750mg,[],[],0,0
TO-202601-0015,Topiramate Tablets 100mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 4.5kPa is outside spec range 6-10kPa'}]",1,1
LA-202604-0016,Lamotrigine Tablets 200mg,[],[],0,0
LA-202605-0017,Lamotrigine Tablets 200mg,['MISSING_SIGNATURE'],"[{'code': 'MISSING_SIGNATURE', 'severity': 'Critical', 'evidence': 'QA signature is missing from the final release section'}]",1,1
BR-202606-0018,Brivaracetam Tablets 100mg,['LOT_MISMATCH'],"[{'code': 'LOT_MISMATCH', 'severity': 'High', 'evidence': 'Recorded lot LOT-6038 does not match issued lot LOT-4923'}]",1,1
LE-202604-0019,Levetiracetam Tablets 750mg,['OOS_DISSOLUTION'],"[{'code': 'OOS_DISSOLUTION', 'severity': 'Critical', 'evidence': 'Dissolution 75.5% is below minimum 80.0%'}]",1,1
BR-202601-0020,Brivaracetam Tablets 100mg,[],[],0,0
BR-202606-0021,Brivaracetam Tablets 100mg,[],[],0,0
BR-202601-0022,Brivaracetam Tablets 100mg,['OOS_WEIGHT'],"[{'code': 'OOS_WEIGHT', 'severity': 'High', 'evidence': 'Tablet weight 107.4mg is outside spec range 95-105mg'}]",1,1
BR-202604-0023,Brivaracetam Tablets 100mg,[],[],0,0
TO-202605-0024,Topiramate Tablets 100mg,[],[],0,0
BR-202605-0025,Brivaracetam Tablets 100mg,[],[],0,0
LE-202601-0026,Levetiracetam Tablets 750mg,[],[],0,0
TO-202603-0027,Topiramate Tablets 100mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 4.8kPa is outside spec range 6-10kPa'}]",1,1
LE-202606-0028,Levetiracetam Tablets 750mg,[],[],0,0
TO-202606-0029,Topiramate Tablets 100mg,[],[],0,0
LA-202606-0030,Lamotrigine Tablets 200mg,[],[],0,0
LE-202604-0031,Levetiracetam Tablets 750mg,[],[],0,0
BR-202606-0032,Brivaracetam Tablets 100mg,[],[],0,0
BR-202602-0033,Brivaracetam Tablets 100mg,['TEMP_DEVIATION'],"[{'code': 'TEMP_DEVIATION', 'severity': 'Medium', 'evidence': 'Process temperature 32.6C outside validated range 20-25C'}]",1,1
LA-202603-0034,Lamotrigine Tablets 200mg,[],[],0,0
LA-202605-0035,Lamotrigine Tablets 200mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 6.4kPa is outside spec range 7-11kPa'}]",1,1
LA-202605-0036,Lamotrigine Tablets 200mg,[],[],0,0
LA-202602-0037,Lamotrigine Tablets 200mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 5.2kPa is outside spec range 7-11kPa'}]",1,1
BR-202605-0038,Brivaracetam Tablets 100mg,[],[],0,0
LA-202602-0039,Lamotrigine Tablets 200mg,[],[],0,0
LE-202601-0040,Levetiracetam Tablets 750mg,[],[],0,0
TO-202601-0041,Topiramate Tablets 100mg,[],[],0,0
BR-202605-0042,Brivaracetam Tablets 100mg,[],[],0,0
BR-202605-0043,Brivaracetam Tablets 100mg,[],[],0,0
TO-202601-0044,Topiramate Tablets 100mg,[],[],0,0
LA-202606-0045,Lamotrigine Tablets 200mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 5.9kPa is outside spec range 7-11kPa'}]",1,1
TO-202606-0046,Topiramate Tablets 100mg,['MISSING_SIGNATURE'],"[{'code': 'MISSING_SIGNATURE', 'severity': 'Critical', 'evidence': 'QA signature is missing from the final release section'}]",1,1
BR-202603-0047,Brivaracetam Tablets 100mg,['LOT_MISMATCH'],"[{'code': 'LOT_MISMATCH', 'severity': 'High', 'evidence': 'Recorded lot LOT-9346 does not match issued lot LOT-7548'}]",1,1
LA-202602-0048,Lamotrigine Tablets 200mg,[],[],0,0
TO-202602-0049,Topiramate Tablets 100mg,['OOS_HARDNESS'],"[{'code': 'OOS_HARDNESS', 'severity': 'High', 'evidence': 'Tablet hardness 4.9kPa is outside spec range 6-10kPa'}]",1,1
LA-202604-0050,Lamotrigine Tablets 200mg,[],[],0,0
BR-202601-0051,Brivaracetam Tablets 100mg,[],[],0,0
LE-202606-0052,Levetiracetam Tablets 750mg,[],[],0,0
BR-202605-0053,Brivaracetam Tablets 100mg,[],[],0,0
LE-202601-0054,Levetiracetam Tablets 750mg,[],[],0,0
TO-202603-0055,Topiramate Tablets 100mg,[],[],0,0
LA-202603-0056,Lamotrigine Tablets 200mg,[],[],0,0
LE-202606-0057,Levetiracetam Tablets 750mg,['MISSING_SIGNATURE'],"[{'code': 'MISSING_SIGNATURE', 'severity': 'Critical', 'evidence': 'QA signature is missing from the final release section'}]",1,1
TO-202606-0058,Topiramate Tablets 100mg,[],[],0,0
LE-202606-0059,Levetiracetam Tablets 750mg,['MISSING_SIGNATURE'],"[{'code': 'MISSING_SIGNATURE', 'severity': 'Critical', 'evidence': 'QA signature is missing from the final release section'}]",1,1
LE-202606-0060,Levetiracetam Tablets 750mg,[],[],0,0
TO-202605-0061,Topiramate Tablets 100mg,[],[],0,0
LA-202602-0062,Lamotrigine Tablets 200mg,[],[],0,0
BR-202601-0063,Brivaracetam Tablets 100mg,[],[],0,0
BR-202605-0064,Brivaracetam Tablets 100mg,[],[],0,0
LE-202603-0065,Levetiracetam Tablets 750mg,[],[],0,0
TO-202604-0066,Topiramate Tablets 100mg,[],[],0,0
BR-202602-0067,Brivaracetam Tablets 100mg,[],[],0,0
TO-202604-0068,Topiramate Tablets 100mg,[],[],0,0
LE-202602-0069,Levetiracetam Tablets 750mg,[],[],0,0
TO-202606-0070,Topiramate Tablets 100mg,['EXPIRED_CALIBRATION'],"[{'code': 'EXPIRED_CALIBRATION', 'severity': 'Critical', 'evidence': 'Equipment M-204 calibrated 95 days before batch run, exceeds 90-day interval'}]",1,1
TO-202604-0071,Topiramate Tablets 100mg,[],[],0,0
